position,variable,label,primary_category,tags,missing_pct,missingness_band,model1_status,model1_available_pre_outcome,model1_leakage_risk,model1_leakage_basis,model1_reason,model2_status,model2_available_pre_outcome,model2_leakage_risk,model2_leakage_basis,model2_reason,source_url
149,con12,Mobile phone use frequency,DIGITAL,DIGITAL;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,11.2274,LOW_UNDER_25,CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",https://microdata.worldbank.org/catalog/7900/variable/F1/V149?name=con12
151,con14,Read a text message,DIGITAL,DIGITAL;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,11.2274,LOW_UNDER_25,CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",https://microdata.worldbank.org/catalog/7900/variable/F1/V151?name=con14
153,con16,Sent a text message,DIGITAL,DIGITAL;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,22.3597,LOW_UNDER_25,CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",https://microdata.worldbank.org/catalog/7900/variable/F1/V153?name=con16
155,con18,Have a PIN or password on mobile phone,DIGITAL,DIGITAL;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,11.2274,LOW_UNDER_25,CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",https://microdata.worldbank.org/catalog/7900/variable/F1/V155?name=con18
157,con20,Rules about using own phone,DIGITAL,DIGITAL;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,11.2274,LOW_UNDER_25,CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",https://microdata.worldbank.org/catalog/7900/variable/F1/V157?name=con20
163,con26,Frequency of internet use,DIGITAL,DIGITAL;CANDIDATE_MODEL_2,40.2474,MODERATE_25_TO_49,EXCLUDE_MODEL_SCOPE,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,Reserved for the other model's distinct feature blueprint; not required for this model's initial scope.,CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",https://microdata.worldbank.org/catalog/7900/variable/F1/V163?name=con26
164,con27,Purchase a data package,DIGITAL,DIGITAL;CANDIDATE_MODEL_2,40.2474,MODERATE_25_TO_49,EXCLUDE_MODEL_SCOPE,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,Reserved for the other model's distinct feature blueprint; not required for this model's initial scope.,CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",https://microdata.worldbank.org/catalog/7900/variable/F1/V164?name=con27
165,con28,Frequency of data package purchase,DIGITAL,DIGITAL;CANDIDATE_MODEL_2,47.6689,MODERATE_25_TO_49,EXCLUDE_MODEL_SCOPE,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,Reserved for the other model's distinct feature blueprint; not required for this model's initial scope.,CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",https://microdata.worldbank.org/catalog/7900/variable/F1/V165?name=con28
167,con30a,Sent a voice message from a mobile phone,DIGITAL,DIGITAL;CANDIDATE_MODEL_2,33.6822,MODERATE_25_TO_49,EXCLUDE_MODEL_SCOPE,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,Reserved for the other model's distinct feature blueprint; not required for this model's initial scope.,CANDIDATE_CONDITIONAL,CONDITIONAL,MODERATE,Recent digital activity overlaps the mobile-money adoption period but is not the target.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",https://microdata.worldbank.org/catalog/7900/variable/F1/V167?name=con30a
168,con30b,Sent a photo from a mobile phone,DIGITAL,DIGITAL;CANDIDATE_MODEL_2,33.6822,MODERATE_25_TO_49,EXCLUDE_MODEL_SCOPE,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,Reserved for the other model's distinct feature blueprint; not required for this model's initial scope.,CANDIDATE_CONDITIONAL,CONDITIONAL,MODERATE,Recent digital activity overlaps the mobile-money adoption period but is not the target.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",https://microdata.worldbank.org/catalog/7900/variable/F1/V168?name=con30b
169,con30c,Used social media on a mobile phone,DIGITAL,DIGITAL;CANDIDATE_MODEL_2,33.6822,MODERATE_25_TO_49,EXCLUDE_MODEL_SCOPE,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,Reserved for the other model's distinct feature blueprint; not required for this model's initial scope.,CANDIDATE_CONDITIONAL,CONDITIONAL,MODERATE,Recent digital activity overlaps the mobile-money adoption period but is not the target.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",https://microdata.worldbank.org/catalog/7900/variable/F1/V169?name=con30c
170,con30d,Read about news or current events online,DIGITAL,DIGITAL;CANDIDATE_MODEL_2,33.6822,MODERATE_25_TO_49,EXCLUDE_MODEL_SCOPE,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,Reserved for the other model's distinct feature blueprint; not required for this model's initial scope.,CANDIDATE_CONDITIONAL,CONDITIONAL,MODERATE,Recent digital activity overlaps the mobile-money adoption period but is not the target.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",https://microdata.worldbank.org/catalog/7900/variable/F1/V170?name=con30d
171,con30e,Accessed educational information online,DIGITAL,DIGITAL;CANDIDATE_MODEL_2,33.6822,MODERATE_25_TO_49,EXCLUDE_MODEL_SCOPE,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,Reserved for the other model's distinct feature blueprint; not required for this model's initial scope.,CANDIDATE_CONDITIONAL,CONDITIONAL,MODERATE,Recent digital activity overlaps the mobile-money adoption period but is not the target.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",https://microdata.worldbank.org/catalog/7900/variable/F1/V171?name=con30e
173,con30g,Accessed government services or searched for government information online,DIGITAL,DIGITAL;CANDIDATE_MODEL_2,33.6822,MODERATE_25_TO_49,EXCLUDE_MODEL_SCOPE,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,Reserved for the other model's distinct feature blueprint; not required for this model's initial scope.,CANDIDATE_CONDITIONAL,CONDITIONAL,MODERATE,Recent digital activity overlaps the mobile-money adoption period but is not the target.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",https://microdata.worldbank.org/catalog/7900/variable/F1/V173?name=con30g
174,con30h,Searched or applied for a job online,DIGITAL,DIGITAL;CANDIDATE_MODEL_2,33.6822,MODERATE_25_TO_49,EXCLUDE_MODEL_SCOPE,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,Reserved for the other model's distinct feature blueprint; not required for this model's initial scope.,CANDIDATE_CONDITIONAL,CONDITIONAL,MODERATE,Recent digital activity overlaps the mobile-money adoption period but is not the target.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",https://microdata.worldbank.org/catalog/7900/variable/F1/V174?name=con30h
184,fin46,ID ownership,IDENTITY,IDENTITY;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,0.0,NONE,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V184?name=fin46
